turn,shock,price,volume,buy_orders,sell_orders
1,False,,0,1,1
2,False,,0,3,2
3,False,4,2,2,2
4,False,,0,1,1
5,False,4,4,2,2
6,False,5,2,1,2
7,False,4,1,1,1
8,False,3,5,1,2
9,False,3,3,2,2
10,False,,0,1,2
11,False,3,4,2,1
12,False,,0,2,1
13,False,,0,1,1
14,False,,0,0,2
15,True,,0,2,2
16,True,,0,0,2
17,True,,0,0,1
18,True,,0,0,1
19,True,3,2,1,2
20,True,2,3,1,2
21,True,,0,1,0
22,True,,0,0,2
23,False,,0,0,0
24,False,,0,0,1
25,False,,0,0,2
26,False,4,2,1,2
27,False,5,2,1,2
28,False,5,2,1,1
29,False,,0,1,0
30,False,,0,0,1
31,False,,0,0,2
32,False,,0,0,2
33,False,,0,0,2
34,False,4,2,1,1
35,False,4,2,1,1
36,False,3,2,1,2
37,False,,0,0,1
38,False,,0,0,1
39,False,,0,0,1
40,False,,0,0,2
