turn,shock,price,volume,buy_orders,sell_orders
1,False,,0,3,2
2,False,4,6,3,2
3,False,,0,1,2
4,False,,0,3,2
5,False,4,6,3,2
6,False,3,3,3,2
7,False,4,6,3,2
8,False,5,4,3,2
9,False,,0,2,2
10,False,4,4,3,2
11,False,4,2,2,2
12,False,4,2,3,2
13,False,4,4,3,2
14,False,4,2,3,2
15,False,4,6,3,2
16,False,3,2,1,2
17,False,4,4,3,2
18,False,3,4,2,2
19,False,4,4,3,2
20,False,5,2,3,2
21,False,4,3,3,2
22,False,4,6,3,2
23,False,5,2,2,2
24,False,3,3,2,2
25,False,4,4,2,2
26,False,5,2,1,2
27,False,,0,3,2
28,False,4,6,3,2
29,False,3,4,3,2
30,False,3,4,3,2
31,False,3,4,2,3
32,False,2,2,1,2
33,False,3,4,2,2
34,False,2,4,2,2
35,False,3,4,3,2
36,False,4,4,2,2
37,False,,0,2,2
38,False,4,2,3,2
39,False,4,4,2,2
40,False,4,6,3,2
