turn,shock,price,volume,buy_orders,sell_orders
1,False,4,2,3,2
2,False,3,2,3,2
3,False,4,2,2,2
4,False,3,4,3,2
5,False,3,2,3,2
6,False,4,6,3,2
7,False,4,2,3,2
8,False,3,6,3,2
9,False,4,2,2,2
10,False,5,4,3,2
11,False,4,4,3,2
12,False,4,4,3,2
13,False,,0,1,2
14,False,4,4,3,2
15,True,5,6,3,2
16,True,4,3,2,2
17,True,4,1,1,2
18,True,4,2,3,2
19,True,5,1,3,1
20,True,5,1,3,1
21,True,6,2,3,2
22,True,7,2,3,2
23,False,,0,2,1
24,False,,0,3,1
25,False,7,2,1,1
26,False,,0,0,1
27,False,,0,1,1
28,False,8,1,1,1
29,False,,0,1,1
30,False,,0,1,1
31,False,,0,1,1
32,False,,0,1,1
33,False,,0,0,1
34,False,,0,0,1
35,False,,0,0,1
36,False,,0,0,1
37,False,,0,0,1
38,False,,0,0,1
39,False,,0,0,1
40,False,,0,0,1
