turn,shock,price,volume,buy_orders,sell_orders
1,False,,0,3,1
2,False,3,4,3,2
3,False,4,2,2,2
4,False,4,2,3,2
5,False,3,4,3,1
6,False,4,2,2,1
7,False,5,4,2,2
8,False,5,2,3,2
9,False,4,2,2,1
10,False,5,6,3,2
11,False,6,2,3,1
12,False,6,4,3,2
13,False,7,4,3,2
14,False,7,2,3,1
15,True,8,3,3,2
16,True,8,2,3,2
17,True,8,2,2,2
18,True,8,1,1,2
19,True,8,1,3,2
20,True,8,2,3,2
21,True,8,1,3,2
22,True,9,1,2,1
23,False,9,3,3,1
24,False,,0,1,2
25,False,9,1,3,2
26,False,,0,1,2
27,False,,0,1,2
28,False,9,1,1,2
29,False,,0,0,2
30,False,9,1,1,2
31,False,,0,0,2
32,False,9,1,1,2
33,False,,0,0,2
34,False,,0,1,2
35,False,,0,1,2
36,False,,0,0,2
37,False,,0,0,2
38,False,,0,0,2
39,False,,0,0,2
40,False,,0,0,2
